"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"yp_base[34]",37.337334375,37.33985,1.6482261078722,1.53471339,34.7264,39.988115,1.00039858224819,1428.32132444648,1288.98647558532
"yp_base[35]",39.44678195,39.4489,1.41928884866618,1.31691945,37.202615,41.71939,1.00046814758339,1467.37597552952,1384.7151559176
"yp_base[36]",37.355531125,37.3584,1.64620918180415,1.5337497,34.74881,40.00288,1.00039760431567,1428.54112155885,1299.2674831942
"yp_base[37]",39.3312718,39.33185,1.4315300173302,1.33144893,37.057795,41.62845,1.00037935075761,1464.90927355834,1394.79383071905
"yp_base[38]",38.7729543,38.7752,1.49123065700099,1.38415536,36.412035,41.16961,1.00038955636329,1453.06194160429,1338.69001415419
"yp_base[39]",39.44062935,39.44285,1.41993956554708,1.31795727,37.194615,41.71405,1.00046466174866,1467.22428787392,1384.7151559176
"yp_base[40]",38.283238675,38.2897,1.5442624027214,1.43827026,35.838025,40.776595,1.00039039359002,1443.85288366268,1307.54120617588
"yp_base[41]",39.2007597,39.2067,1.44540684974724,1.34709036000001,36.913695,41.516585,1.00038150476179,1461.62655130341,1394.79383071905
"yp_base[42]",39.02396765,39.02905,1.46428399375841,1.36614177,36.7084,41.364115,1.0003799148183,1457.67481383568,1394.79383071905
"yp_base[43]",38.986313075,38.99035,1.46831603295568,1.37036718,36.663525,41.335055,1.00038027292834,1457.05440984082,1394.79383071905
"yp_base[44]",38.6800083,38.68105,1.50125031508181,1.39601616,36.308125,41.086025,1.00038710608965,1451.58453430588,1338.69001415419
"yp_base[45]",39.218087725,39.224,1.44356207563907,1.34419929,36.93286,41.532595,1.00038241471692,1461.96553047341,1394.79383071905
"yp_base[46]",39.06450495,39.0692,1.45994779882512,1.36161984,36.75667,41.395525,1.00037944501052,1458.59308443144,1394.79383071905
"yp_base[47]",39.2141833,39.2201,1.44397859607668,1.34486646,36.928545,41.52897,1.00038322075791,1461.91959628199,1394.79383071905
